"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50" "V51" "V52" "V53" "V54" "V55" "V56" "V57" "V58" "V59" "V60" "V61" "V62"
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 2 2 2 2 1 1 1 2 1 1 2 1 2 1 1 1 1 2 1 1 1 1 1 1 2 1 1 2 2 1 1 1 2 1 2 1 2 1 2 2
13.28033604 13.13602119 9.644818852 10.27681572 11.3868663 10.58860941 12.87097666 12.87920336 12.7997852 11.10510848 12.86242773 11.99378091 13.0024993 13.1424569 13.2871482 12.79240739 12.52627316 12.11044728 12.76789813 12.550235 6.474482431 6.675438818 6.109682939 13.6131602 12.72378173 6.279245217 6.344753237 6.296138373 12.48615618 11.06672026 9.54024817 6.664775111 6.239191104 13.07737949 5.961693216 6.671921947 11.88547861 6.572682507 5.959623447 6.1908473 6.584802169 6.111002885 6.287114932 11.27931458 5.781079307 11.02993597 5.876799572 6.311985441 6.023587435 6.605640953 6.231180365 6.032749272 6.524757743 12.44162877 6.167539999 6.546716017 6.595564571 9.629197695 12.59705672 6.930936288 6.175658212 6.14305579
13.01777306 5.902662799 10.82469878 6.454041057 7.812914744 9.812930246 8.88247387 11.19851428 10.37836398 6.983850512 10.03694802 9.383946772 6.191080001 8.364297719 5.94118375 10.58640893 6.281483694 8.640369644 6.285236788 6.319073455 10.4656108 12.23668321 6.159191515 6.18406552 10.34663446 6.164750227 12.87615248 11.53333914 13.23707521 13.44098509 13.65623644 14.04762235 13.72896566 10.69472432 13.64333193 11.92697267 13.84298322 13.64336078 6.926891207 6.774382579 13.82134223 11.22868489 13.6642824 6.628030657 9.206210065 13.11862317 6.052254217 13.71176216 12.76396616 11.8434771 12.85182753 13.47215041 13.57261756 12.69983898 13.23236624 11.16948039 13.49127047 13.83865215 7.351988336 13.1215586 6.906972892 7.391700154
10.7414204 10.36315886 6.917079558 8.564330934 8.719241553 8.06812555 11.36776202 10.41860932 10.55311912 9.391720536 10.79091108 10.85687558 10.97135708 10.64731147 11.17510543 11.31705987 9.87405475 10.79685096 10.37822746 9.826313759 4.754835084 4.159019021 4.242108776 11.79360787 10.97711248 4.750055678 4.264072244 4.686156431 9.079637084 9.208199331 7.509377582 5.012156 4.721162886 10.76508238 4.471762328 4.639757605 9.878546732 4.654148716 5.036902643 4.108080578 4.89012629 4.75055886 4.704913979 9.116645018 4.66096271 8.576509161 4.76106393 4.860406341 4.428293027 4.958862344 4.528627967 4.539525266 5.09200353 10.83847153 4.612980364 4.385032829 5.081161613 8.776117554 10.91977192 4.381381819 4.181339666 4.355345092
10.38491116 12.23820231 7.157804184 9.306145722 9.30824033 9.070297036 11.99147199 11.06278097 11.49048694 10.80401918 11.75273498 11.14359985 10.59882926 12.6985557 12.00695998 11.52821403 10.13524676 11.18528881 11.93410912 11.27033252 5.102480423 5.432606734 4.950281702 11.57606257 11.30060013 5.038521314 5.498643784 5.266078992 10.32413204 9.58942976 7.290507995 5.247432348 5.204288925 11.25886994 5.111867981 5.562593933 10.68284202 5.496225409 5.330490568 4.97264122 5.293917732 5.389677169 5.358164689 9.105464425 5.357155497 8.846309614 5.372997405 5.45893261 5.237503002 5.745250538 4.935270342 5.677405716 5.292902061 10.06429142 5.154105765 5.384719913 5.271525087 8.537759699 11.69275334 5.30180218 5.271741771 5.11884401
9.745391906 12.13518046 4.885588884 12.95042217 12.80906267 13.13286948 13.25937594 12.56718929 11.4904173 13.29047396 11.28762412 12.82707527 12.04545641 11.78920715 12.96108633 12.29280701 11.41130189 12.19388453 10.75743892 13.44535963 5.073487236 10.02272007 10.36929953 11.66861577 11.29010588 10.91914914 6.728550881 4.610609196 8.665558664 9.815332908 10.18492869 5.902480945 8.845639882 6.77661418 8.973860168 9.224571414 10.10698695 13.19925092 4.745174215 12.82421302 10.7512001 11.40324838 4.957362003 5.264464088 12.01150313 7.785839455 9.224544313 5.789393349 4.998364933 13.04244034 12.15175644 11.69641153 12.48381974 7.234718382 10.82937911 8.020758127 6.057600474 6.60080967 13.55542105 11.62210194 13.21252413 12.20621259
9.564876854 10.02043544 12.78390843 12.81702258 12.91460075 10.94414866 13.07352002 12.62516189 12.69342945 11.94569942 9.89983594 12.70514387 6.091769046 6.171383339 12.66752896 12.35435121 7.511873929 11.82843321 11.80779744 9.47583484 8.73712088 13.07983001 5.35326132 5.094624921 4.958789674 5.053514154 11.78538337 8.2382592 12.04260129 8.872179129 6.142043109 7.291967812 12.19026225 7.207170145 10.16382378 9.543644397 10.78036663 11.66319743 6.563834406 4.864620176 7.895614661 5.172496344 10.79945974 5.381042674 8.107883093 11.47314834 4.912395711 11.15282752 9.955470788 6.528339414 7.894843742 11.11873 5.913160432 11.84048904 9.159834144 6.939852178 10.20779725 12.16447398 6.596828051 8.983668457 5.226498667 11.55419695
12.96761579 9.108970047 6.183492746 13.32763075 13.9134052 12.86935427 14.01055657 14.37408398 9.799230668 10.87089085 7.920419187 12.68618356 9.021619745 7.929099462 13.97088304 13.12268094 11.33321583 7.477987206 6.627791425 8.416339376 11.88140696 14.01930276 7.391285867 8.809892668 13.48057691 8.784444346 13.60452614 9.394265926 11.63834086 8.438841675 11.12409328 6.185857906 13.03897126 7.617149844 13.81593046 6.123552996 11.58919053 13.8330694 7.812333097 13.23460939 10.78760485 11.98882446 9.517640403 5.094896029 12.25605195 12.8633275 5.517288273 8.420686564 10.26679151 13.809991 12.92985368 14.39616464 13.48654791 14.26511213 9.95834742 6.115213888 9.898571145 9.115129569 12.6798666 13.40006848 11.5272674 12.82669516
5.326920609 6.331161418 11.28470745 9.703566399 4.318375314 7.450668955 9.238382933 8.493045712 7.415872374 9.78359079 9.02616164 9.030496422 4.69412761 8.141029687 8.840641628 10.87377283 11.63473658 4.37171126 13.26560346 8.339451991 9.393351396 6.571131975 13.1482565 4.817542202 10.92155244 13.18866915 13.24402513 9.606275692 6.642376952 12.74420738 13.25581078 12.10127301 11.5066847 10.43517857 11.72184859 11.93350782 12.73357869 7.20817193 10.88646739 6.280502227 12.70992835 10.2847654 13.06643032 10.2923714 12.61205258 9.903347581 4.841658592 12.04483797 13.04295678 8.120613458 8.491260614 10.14467872 9.16852263 9.200755159 12.57525871 13.53026314 12.3843107 10.98181864 6.077785753 10.78765323 4.77913974 11.99062334
11.96485643 11.46308122 5.015948742 11.68571703 11.98679537 13.01840544 12.38825376 12.35409018 7.58574464 6.225056311 8.815602391 9.707098157 7.438037199 10.61476404 7.41625172 13.2701036 4.994660046 12.99046673 10.79181559 11.21877049 5.963157062 9.042322428 5.470248036 8.023787082 11.18687659 5.535122001 11.28036624 9.790111061 11.63770463 5.365770032 5.252541978 5.199576637 6.868765365 8.347689593 8.759994314 5.329556971 9.356932859 10.52693238 5.420752061 9.335424581 5.838906231 10.40761005 6.106803228 4.922156445 12.91052807 5.960800757 5.06919537 4.95443721 7.703394832 11.93338496 8.671522855 9.308622095 10.92769257 8.420959259 5.007714456 5.549465562 5.535176051 7.772030666 12.0845128 9.796437966 11.29760303 6.722947414
