"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40"
0 0 1 1 0 0 1 0 1 0 0 1 0 0 1 0 0 1 1 0 0 1 0 0 1 0 1 0 0 1 1 0 0 0 0 0 0 0 0 0
2.483167758 0.22395191 7.852793909 7.382149934 1.14884683274796 2.590588306 0.760842401923773 7.351068779 0.981889836 1.60740541725387 1.130107977 0.35440316224599 0.994066844584765 5.054995909 2.11799749 6.072999944 1.62218773457334 7.806842605 6.667223071 3.53843825567193 0.541035280526854 0.476279838 1.535211173 0.092675778 -0.051807937 2.373977948 3.703584777 0.144412057 1.001113221 0.740207696317168 5.088175899 2.249507439 7.134455031 1.445439331 2.031057207 5.498367999 2.759462819 6.142329743 -0.282146562 6.191560832
-1.139082363 -6.055640566 1.715839553 2.988206499 -3.22997988 -2.340952945 4.357639685 -2.936437722 -1.235820613 -2.992027449 -3.935275937 2.785233467 -1.541439498 0.868943992 0.13103188 -1.734822572 -2.198433448 -0.68940705 3.04123803 2.122450151 -5.327087282 1.637556583 1.793076125 2.219427762 0.83869998 -3.587499403 -2.2294859 0.637533393 2.220274307 -0.716606453 2.180627524 4.728443794 0.914092462 -0.71437018 -1.057708069 -0.855225685 -2.723269465 -0.620056898 1.969731286 0.560696528
0.081462482 -1.207206486 6.864185272 1.983818358 -0.021683731 5.942450746 -0.199654299 6.576712797 2.533560037 -0.681716184 -0.6492763 0.630238674 0.206764119 3.166892371 2.840154949 7.142150287 -0.330785564 7.471060117 1.826793571 2.986035915 0.260414015 1.045968472 1.109659325 0.069688704 1.216432803 2.373885018 4.113024314 0.373289958 1.97589613 -0.483694334 5.231844032 6.69412151 4.901680562 0.272232105 1.523668639 3.814909486 1.528685235 5.045482697 0.296076303 3.702844162
-2.034066673 -1.563878356 4.198739862 2.652708661 1.28834899788392 4.503753528 -1.936406525 5.407296976 7.526107604 1.527168002 -0.613737938 1.596178912 0.099853286 5.452148153 1.36267984636592 7.470283376 1.704343611 5.76627039 2.950084643 4.988444438 -0.66521872358123 2.76795840763991 2.522469234 0.308810193 0.455288106 1.572957134 3.854119694 -0.121258669 1.07648181342721 0.694564174113548 4.548691686 5.341486989 4.05430725473857 -0.235682094 0.731179463 3.818558177 1.848864709 4.608200126 0.0105727070290307 4.459136858
0.887433153 0.105812596 7.377405774 3.718096721 1.980521968 5.166188995 -0.228471778 8.693448479 2.44540412541469 1.105106141 0.590565368 0.432429462138601 0.471014586 4.954455762 3.160018733 4.166451713 0.275796607 6.232714663 5.227166693 4.327344833 0.383062419729799 1.037979051 5.224548641 0.345879093 0.47145062 3.766595333 2.862391263 0.200490868 1.25327158 -0.554714529 5.506235801 6.765382422 5.01177259089534 1.20119385210829 2.122676488 4.27885791 2.199498905 4.88113285 0.828637968365738 3.55204601
0.77228017 1.021630521 3.256957102 1.579815766 0.265561788 4.416319373 3.152267631 0.570253102 9.401590781 3.361713613 3.271056146 -0.107698554 1.113781035 0.531109552 2.28854306871995 1.96734045692821 2.00383024303128 2.56420516072017 1.1407310413184 2.99587912877569 0.583854003502999 3.635245942 0.181227651 -0.518080829 3.216993361 0.609425542 1.2010587991855 2.07036751 7.024248736 8.34196143 4.479052423 0.375694991 1.51232465571546 7.054430408 0.737949522 1.409288386 0.518337676 0.698731018 -0.110934665 1.003686502
1.877873528 -2.871052596 2.482130494 4.082922783 -4.151508125 0.846545405 0.59925244 1.170195248 -0.480529326 -2.229598819 -2.434630325 -2.415366201 -1.22788394369445 -0.09598231 -1.92742656 -1.46251579 1.697921932 0.332467435 4.561056117 -3.816360565 -2.676987738 1.377572864 -3.580468704 -3.273153819 -2.838940249 2.958560428 -4.226244036 -0.556073119 1.912879705 1.620807754 -1.265512905 2.351104286 -2.45455521 -2.792514856 -0.8325773 -1.919268843 -1.193423026 -1.500945068 -3.066215358 -0.873995946
-1.702581863 -1.75389055 3.680765635 2.18852105 1.923580515 3.936958826 -1.915300086 5.279347647 7.025247989 1.550521172 -0.837561946 0.902395248 0.059763458 4.650343083 0.125510915 5.80312046 1.73982668990553 4.818306326 2.427826944 4.29055552 -0.761068340157863 3.475457445 2.480514687 1.44981991499546 0.220765389 2.616154267 3.611624989 -0.330918736 0.10988017 0.529352515755605 3.327994597 5.03841095 3.77693640642919 -0.579939668 0.491111808 3.18255432 1.202657231 4.226913873 -0.629085485 4.05981023
5.044144224 0.942083929 7.601356512 5.243681817 1.119785598 2.519609099 8.282681875 2.58346779667766 4.348500444 2.84093978821683 1.190949519 7.513286257 2.058457084 5.137680659 4.194851168 4.36880466890543 2.048323708 4.926939308 6.214163154 9.461760013 4.48906497190159 6.346727402 6.103236471 3.774761894 5.041186028 2.32365509153408 2.045072274 2.360742188 6.965824894 3.621604286 6.743780599 8.076400863 6.704935923 2.89147291 2.487488698 4.797735171 0.11019146 5.196777814 5.894508437 2.71030844355536
