"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50" "V51" "V52" "V53" "V54" "V55" "V56" "V57" "V58" "V59" "V60" "V61"
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2
0.887205593 0.353472723 -0.319558792 0.688334832 0.922517882 0.553740754 0.065050059 0.460357635 0.187526201 0.557429699 -0.160337454 0.904525608 1.165488348 0.74563157 -0.370301639 0.911945023 -0.066613969 -0.294793511 0.408293825 -0.044702099 -0.567310635 -0.184109801 -0.329749928 0.150630229 1.026764215 0.842222198 0.436152055 0.518728233 -0.322896551 0.209852474 0.03160015 -0.425092915 -0.178605409 -0.592370302 0.505609733 -0.084170784 0.74071506 -0.733858133 0.021587968 -0.430781104 1.357302698 0.744993359 0.809891569 -0.301044377 -0.363867121 1.25199964 -0.405059616 0.635006301 0.281529961 -0.001356739 0.004657246 -0.307730222 0.161343677 -0.144766438 0.867755955 0.6932398 0.308586861 0.783418375 0.824792201 0.499809579 0.242592453
0.880745855 0.377997025 -0.221917337 0.705586459 0.95216 0.57028334 0.129389819 0.525191367 0.191521036 0.549855367 -0.11501212 0.923079349 1.102205578 0.819320738 -0.283421596 0.924420531 0.046033048 -0.277392856 0.476997192 0.053033469 -0.54255976 -0.059822659 -0.343829082 0.126480977 0.92870304 0.843884345 0.408456495 0.477872608 -0.25584863 0.215811761 -0.004177238 -0.289496478 -0.161300561 -0.508358949 0.555199695 0.025719279 0.772783964 -0.589176549 0.049963659 -0.318222903 1.374685961 0.679742436 0.789332466 -0.213265228 -0.276472295 1.140751707 -0.468005644 0.593421124 0.251262006 0.032411746 0.040989372 -0.290427145 0.153770947 -0.135018424 0.904160873 0.68872339 0.342235171 0.853549366 0.860966882 0.489310833 0.24144935
1.532205616 1.364933631 0.026632271 1.394770795 1.416721868 0.028674641 0.035258455 0.682652732 1.063529351 0.051161004 0.256080452 0.787410196 0.552261053 -0.01468147 -0.013183551 0.331942427 1.418224919 1.00171228 1.105033697 0.825808967 1.154813753 0.487727395 0.217261788 0.605967765 0.339456909 0.088424195 0.248945502 1.386169833 0.094087249 0.318407951 0.104207014 0.241564166 1.27133571 0.042115828 1.253984296 0.246979352 1.279092299 0.211254738 0.23591045 0.174072795 1.102820864 0.955955444 0.204411544 0.177076275 -0.024753767 0.773660289 0.1895338 0.713618402 0.362046817 0.62368914 0.817178073 0.21508201 0.065994683 0.122976974 0.51704227 0.21886832 0.560878193 0.201144042 0.672444228 1.022609851 1.148709108
0.108212239 -0.170982567 -0.442195019 -0.138284461 0.196811482 -0.353764548 -0.431284735 -0.540706426 -0.597087204 -0.348837058 -0.455938467 0.147114467 0.330829419 -0.12830767 -0.977985435 0.260085515 -0.351267831 -0.969175419 -0.369370814 -0.731361791 -1.352961784 -0.802637039 -1.045341792 -0.901836699 0.166345943 -0.023069707 -0.420197722 -0.371089475 -1.098750333 -0.696968007 -0.726813726 -1.071200198 -0.751941622 -1.191392965 -0.365489365 -0.574416674 -0.167064577 -1.318879247 -0.559094273 -0.996134146 0.727955499 -0.21955692 -0.057517804 -1.059283008 -1.0954357 0.123084255 -1.229166495 -0.419285805 -0.7863593 -0.927790355 -0.314632592 -0.665345465 -0.568190741 -0.638191393 0.059185131 -0.82441603 -0.252898641 0.238851651 -0.1320229 0.420225874 -0.516391206
0.110161025 -0.184131662 -0.445642684 -0.154506961 0.241569842 -0.400664485 -0.4659963 -0.536861652 -0.554632042 -0.345082322 -0.534573658 0.148310977 0.323220493 -0.115326933 -0.976724689 0.233529646 -0.234629751 -0.899768224 -0.349917353 -0.743509327 -1.268885416 -0.825772227 -1.037174645 -0.849768273 0.195426595 -0.000947203 -0.442203324 -0.358306637 -1.212107183 -0.670722869 -0.758890745 -1.053302912 -0.716263305 -1.10982677 -0.404833108 -0.496592846 -0.161975898 -1.306267952 -0.582000714 -1.038999344 0.743985791 -0.124403934 -0.100626487 -0.933998305 -1.198635465 0.192115797 -1.197515468 -0.388310039 -0.783168448 -0.797656043 -0.318599246 -0.679159281 -0.462853631 -0.669227931 -0.020230619 -0.790695391 -0.260223247 0.151907876 -0.018101772 0.429013838 -0.489740871
0.971468634 1.239776575 0.051011595 1.146325846 1.180103403 0.805461768 0.337675433 1.812887435 0.33089517 0.460964682 1.261830265 1.56042857 1.003736423 0.294173918 0.037630742 0.953007502 1.466468914 1.508887231 0.855466065 0.207811857 1.319560933 0.681993012 1.326578617 1.212251386 1.289328685 0.720277843 0.987652872 0.966296101 0.946809324 1.40764313 0.594357197 1.345203729 1.332139856 1.119742544 1.496113798 0.299188706 1.715576754 0.282499527 0.369584921 0.179905785 1.018551814 0.658121374 0.598099426 0.972656207 0.47971764 1.006941317 0.589194818 0.78185308 0.325072868 0.697197627 1.305497947 1.067866137 0.202827652 0.546231654 1.096821326 0.751504511 1.487275161 1.041951149 1.499923503 1.178914334 0.95128107
-0.508652209 -0.613701092 -1.057872883 -1.11582758 -0.612517503 -0.643539463 -0.887620039 -0.62132996 -1.485729873 -1.215234205 -1.18577502 -0.393521152 -0.113156574 -0.523410241 -1.321326237 -0.287731527 -1.197201269 -1.012364109 -0.856727987 -1.257130166 -1.693526734 -1.219356319 -1.135781319 -0.993876034 -0.087983209 -0.332866817 -0.821512003 -1.137999123 -1.285180201 -0.753374446347132 -0.962180172 -1.68246127 -1.31250554 -1.751369428 -0.834443985 -1.549006036 -0.607376572 -1.462804828 -0.838560255 -1.277246291 -0.33839139 -0.879271142 0.061016355 -1.26342608 -1.441141595 -0.061643415 -1.066911717 -1.184221983 -1.136755648 -1.210344813 -0.994510132 -1.085457856 -1.231838727 -0.964867157 -0.498375513 -1.400061329 -0.876805051 -0.161841999 -0.685091583 -0.857593915 -0.966369841
0.462484503 0.256429804 0.05857121 1.131364416 0.367318132 0.546384356 0.354061115 1.252090227 0.116526052 0.33069769 1.20928112 1.386059056 0.672055847 0.206853125 0.080385135 0.135201615 0.65355291 0.25983143 0.550150871 0.373139116 0.553837681 0.388410389 0.973766292 1.354930748 0.604595415 1.098849501 1.243058527 0.393120503 0.762135474 1.697533602 0.955062911 0.374901201 1.183626459 0.416099124 0.615510616 0.156694624 1.076120871 0.177389543 0.080203874 0.355538095 0.37154556 0.083900333 0.297254193 0.723881034 0.796554208 0.314795989 0.620710137 0.154583573 -0.052857657 0.204224219 0.991117528 0.698284975 0.019964374 0.164504802 0.095527304 0.464093527 0.855694109 0.106804839 0.257241405 0.390146298 0.196545936
0.850399244 0.644807341 -0.114637076 0.405624909 1.344938599 0.026438172 0.13187468 0.462345372 -0.042209331 0.266271758579085 -0.044575351 0.771085051 0.511295516 0.464107567 -0.107595655 0.595973893 0.786392448 -0.10084364 0.712690009 0.042027824 0.02644937 0.175667866 0.567890528 0.407534368 0.844756504 0.487625484 0.107328068 0.566220106 0.025574348 1.172096242 0.756122256 0.922449904 1.257434333 0.010208599 0.427917739 -0.078559277 0.479147345 0.044757188 -0.018373969 0.164465192591418 0.957114514 0.297200212 -0.114921534 1.207348044 0.039661743 0.869887876 0.944048595 1.17298918 0.018359622 -0.049027782 0.417849971 0.288705559 0.0668615113518611 -0.054771597 0.132546145 -0.056114199 0.064203482 0.344842281 0.93913377 0.408385263 0.560460836
